1000,0.401000
2000,0.438000
3000,0.465000
4000,0.481000
5000,0.498000
6000,0.483000
7000,0.501000
8000,0.538000
9000,0.563000
10000,0.579000
11000,0.596000
12000,0.617000
13000,0.635000
14000,0.612000
15000,0.665000
16000,0.682000
17000,0.704000
18000,0.723000
19000,0.748000
20000,0.762000
21000,0.740000
22000,0.791000
23000,0.806000
24000,0.828000
25000,0.852000
26000,0.871000
27000,0.884000
28000,0.867000
29000,0.895000
30000,0.946000
31000,0.961000
32000,0.975000
33000,0.998000
34000,1.014000
35000,1.036000
36000,1.008000
37000,1.053000
38000,1.080000
39000,1.095000
40000,1.109000
41000,1.135000
42000,1.148000
43000,1.123000
44000,1.171000
45000,1.190000
46000,1.212000
47000,1.236000
48000,1.248000
49000,1.268000
50000,1.254000
51000,1.267000
52000,1.310000
53000,1.336000
54000,1.353000
55000,1.370000
56000,1.386000
57000,1.375000
58000,1.388000
59000,1.428000
60000,1.456000
61000,1.473000
62000,1.488000
63000,1.510000
64000,1.527000
65000,1.503000
